"","name","scientificName","genus","species","decimalLongitude","decimalLatitude","country"
"1","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",34.74701,-2.61933,"Tanzania, United Republic of"
"2","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",31.842,-28.30692,"South Africa"
"3","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",28.606,-20.17238,"Zimbabwe"
"4","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",28.42335,-20.14221,"Zimbabwe"
"5","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",31.28082,-24.91822,"South Africa"
"6","Psammobates tentorius","Psammobates tentorius subsp. tentorius","Psammobates","Psammobates tentorius",20.5556,-32.1024,"South Africa"
"7","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",36.04477,-4.07797,"Tanzania, United Republic of"
"8","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",25.75046,-33.45495,"South Africa"
"9","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",35.127,-1.47765,"Kenya"
"10","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.6172,-25.16298,"South Africa"
"11","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",24.99834,-17.83604,"Botswana"
"12","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",30.96667,-24.35,"South Africa"
"13","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",36.04477,-4.07797,"Tanzania, United Republic of"
"14","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",36.05095,0.64681,"Kenya"
"15","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",36.04477,-4.07797,"Tanzania, United Republic of"
"16","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",33.93368,-2.15805,"Tanzania, United Republic of"
"17","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",33.90014,-2.17078,"Tanzania, United Republic of"
"18","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",36.08322,-0.35019,"Kenya"
"19","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",36.0997,0.25955,"Kenya"
"20","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",19.2659,-34.39338,"South Africa"
"21","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",14.6363,-19.39441,"Namibia"
"22","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",20.76133,-18.50574,"Namibia"
"23","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",35.02716,-1.22763,"Kenya"
"24","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",35.02716,-1.22763,"Kenya"
"25","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",22.22534,-32.22442,"South Africa"
"26","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",22.22534,-32.22442,"South Africa"
"27","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",35.206,-18.045,"Mozambique"
"28","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",31.59913,-25.00697,"South Africa"
"29","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",26.955,-18.735,"Zimbabwe"
"30","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"United States"
"31","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",25.41412,-33.26395,"South Africa"
"32","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",17.16347,-19.65447,"Namibia"
"33","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
